ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
12,FLORIDA,FL,St. Johns,12109,"St. Johns County, Florida",600.7135477,235503,0,103522,143,86268,1122,19660,2090,5554,868,41393,1275,9024,973,45239,97,51545,65,26398,1307,5286,728,39697,132,1440,394,10210,703,7484,675,798,242,2245,407,2416,351,8.4,0.9,4.9,0.8,41393.0,1275.0,5.4,0.6,19.2,0.1,21.9,0.0,11.3,0.6,6.1,0.8,16.9,0.1,0.6,0.2,9.9,0.7,7.2,0.6,0.9,0.3,2.6,0.5,1.0,0.1,0.0,0.0758,0.0303,0.0,0.1061,0.0,0.4394,0.7879,0.1061,0.1364,1.4698,0.1212,0.1364,0.0758,0.2122,0.0606,0.6212,0.1667,0.0152,0.0152,0.0758,0.8941,0.0152,2.6822,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19615,1933,8.4,0.8,194332
12,FLORIDA,FL,Nassau,12089,"Nassau County, Florida",648.6801841,80578,0,37991,125,31241,476,8167,1037,1794,323,35335,1589,5083,604,16835,130,16160,0,12725,992,2594,380,10193,42,446,221,2359,298,6930,494,396,152,1247,238,802,319,10.2,1.3,4.7,0.8,35335.0,1589.0,8.6,1.0,20.9,0.2,20.1,0.0,16.0,1.2,8.3,1.2,12.6,0.1,0.6,0.3,6.2,0.8,18.2,1.3,1.3,0.5,4.0,0.8,1.0,0.4,0.0606,0.0303,0.0909,0.1515,0.3333,0.0455,0.5758,0.5455,0.4545,0.5606,2.1364,0.6061,0.0152,0.0758,0.091,0.0,0.5606,0.4848,0.0606,0.1212,0.0758,1.303,0.0606,3.8637,0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8791,1125,11.0,1.4,67353
12,FLORIDA,FL,Sumter,12119,"Sumter County, Florida",557.1124557,120999,0,69130,308,54636,979,9839,1157,1264,244,33629,1188,9130,836,67271,102,8852,93,21913,1029,1049,219,18252,101,1143,255,1245,237,10833,620,493,172,1766,306,9398,607,8.8,1.0,4.7,0.9,33629.0,1188.0,8.4,0.8,55.6,0.1,7.3,0.1,19.6,0.9,1.9,0.4,15.1,0.1,1.0,0.2,1.8,0.3,15.7,0.9,0.9,0.3,3.2,0.6,7.8,0.5,0.0152,0.0303,0.1364,0.1212,0.3031,0.0303,1.0,0.0,0.7424,0.0,1.7424,0.303,0.0606,0.2727,0.3333,0.1212,0.3333,0.4394,0.0152,0.0758,0.6818,1.5455,0.0909,3.9243,0.0303,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6881,910,6.2,0.8,128771
12,FLORIDA,FL,Sarasota,12115,"Sarasota County, Florida",556.8682991,412144,0,237131,224,180551,1748,39255,2217,8154,623,39364,651,23543,1299,145841,92,59981,106,63336,1887,8995,775,68571,365,8312,1023,40732,1152,21817,773,2542,459,9215,705,5710,476,9.7,0.5,4.7,0.4,39364.0,651.0,7.2,0.4,35.4,0.1,14.6,0.0,15.5,0.5,5.0,0.4,16.6,0.1,2.1,0.3,17.2,0.5,9.2,0.3,1.4,0.3,5.1,0.4,1.4,0.1,0.0303,0.0303,0.0606,0.0455,0.1667,0.0152,0.9545,0.0303,0.3939,0.0606,1.4393,0.0909,0.1212,0.5758,0.697,0.3485,0.8333,0.2879,0.1212,0.2879,0.2424,1.7727,0.1667,4.0757,0.0455,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,46394,2979,11.4,0.7,407940
12,FLORIDA,FL,Flagler,12035,"Flagler County, Florida",485.1447916,107139,0,50961,83,40629,700,12575,1498,2375,396,27689,876,6500,571,31580,118,18736,0,17068,871,2403,392,26890,184,2619,601,4180,356,2418,258,546,169,1510,256,520,168,11.9,1.4,5.5,0.9,27689.0,876.0,8.0,0.7,29.5,0.1,17.5,0.0,16.0,0.8,5.9,1.0,25.1,0.2,2.5,0.6,8.2,0.7,4.7,0.5,1.3,0.4,3.7,0.6,0.5,0.2,0.1818,0.1667,0.4091,0.0758,0.8334,0.1515,0.8788,0.2121,0.4545,0.1061,1.6515,0.1667,0.3636,0.6515,1.0151,0.5606,0.5909,0.0758,0.0606,0.1061,0.0,0.8334,0.0,4.3334,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13537,1141,12.7,1.1,86810
12,FLORIDA,FL,Seminole,12117,"Seminole County, Florida",309.4007157,455086,0,188529,288,167304,1310,51442,2676,13569,953,33419,458,18207,960,67463,106,96878,56,46549,1621,12840,859,176023,413,11913,1185,27396,1321,5321,515,3138,442,5931,601,4064,690,11.4,0.6,5.6,0.4,33419.0,458.0,5.7,0.3,14.8,0.1,21.3,0.0,10.3,0.4,7.7,0.5,38.7,0.1,2.8,0.3,14.5,0.7,2.8,0.3,1.9,0.3,3.5,0.4,0.9,0.2,0.1212,0.2121,0.1667,0.0152,0.5152,0.0909,0.1667,0.6667,0.0303,0.4545,1.3182,0.0455,0.7273,0.6818,1.4091,0.7121,0.7576,0.0152,0.3333,0.0909,0.0455,1.2425,0.0303,4.485,0.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46907,2140,10.4,0.5,387314
12,FLORIDA,FL,Santa Rosa,12113,"Santa Rosa County, Florida",1012.3789908,170442,0,70389,211,61345,755,16119,2013,4366,642,30904,823,10001,770,26193,169,37910,49,25635,1227,5247,613,29596,159,1185,346,2607,350,7664,656,1075,271,1909,411,6266,542,9.8,1.2,5.6,0.8,30904.0,823.0,8.4,0.6,15.4,0.1,22.2,0.0,15.9,0.8,8.6,1.0,17.4,0.1,0.7,0.2,3.7,0.5,10.9,0.9,1.8,0.4,3.1,0.7,3.7,0.3,0.0455,0.2121,0.2727,0.1212,0.6515,0.1061,0.197,0.8333,0.4394,0.5758,2.0455,0.5152,0.1515,0.1667,0.3182,0.1061,0.4697,0.3485,0.2424,0.0455,0.5606,1.6667,0.1364,4.6819,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16146,1514,10.0,0.9,131497
12,FLORIDA,FL,Martin,12085,"Martin County, Florida",543.7849085,157581,0,79801,165,63865,985,16212,1505,3673,580,40389,1498,11465,971,47411,117,26227,0,23501,1301,3053,435,33729,211,4631,811,11421,628,7755,440,1208,227,3285,391,3908,382,10.5,1.0,5.3,0.8,40389.0,1498.0,9.5,0.8,30.1,0.1,16.6,0.0,15.2,0.8,4.8,0.7,21.4,0.1,3.1,0.5,14.3,0.8,9.7,0.6,1.9,0.4,5.1,0.6,2.5,0.2,0.0758,0.1515,0.0455,0.2273,0.5001,0.0758,0.8939,0.1364,0.303,0.0455,1.3788,0.0606,0.2121,0.7121,0.9242,0.5,0.7424,0.3333,0.3333,0.2879,0.4697,2.1666,0.4242,4.9697,0.1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17763,1236,11.5,0.8,153738
12,FLORIDA,FL,Brevard,12009,"Brevard County, Florida",1015.1805666,576808,0,276294,390,228888,1973,72520,3551,16291,1157,30987,436,34234,1534,133083,47,106811,59,89462,2010,16385,1112,145118,349,7642,913,34924,1295,21170,926,3364,431,12067,778,6176,788,12.7,0.6,6.2,0.4,30987.0,436.0,8.0,0.4,23.1,0.1,18.5,0.0,15.6,0.4,7.2,0.5,25.2,0.1,1.4,0.2,12.6,0.5,7.7,0.3,1.5,0.2,5.3,0.3,1.1,0.1,0.2727,0.4394,0.2576,0.0758,1.0455,0.197,0.697,0.2879,0.4091,0.2727,1.6667,0.2273,0.3788,0.4394,0.8182,0.3939,0.6818,0.1818,0.1667,0.4091,0.1515,1.5909,0.1061,5.1213,0.1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61594,2635,10.8,0.5,513415
12,FLORIDA,FL,Okaloosa,12091,"Okaloosa County, Florida",930.2328505,200737,0,96376,237,77403,895,22425,1742,5230,622,31901,762,11232,839,31003,51,44558,33,28685,1217,5754,545,52317,223,2889,482,16211,642,5208,421,1497,271,3923,387,5801,567,11.5,0.9,5.6,0.7,31901.0,762.0,8.2,0.6,15.4,0.1,22.2,0.0,15.2,0.6,7.4,0.7,26.1,0.1,1.5,0.3,16.8,0.7,5.4,0.4,1.9,0.3,5.1,0.5,2.9,0.3,0.1364,0.2121,0.2121,0.1061,0.6667,0.1212,0.197,0.8333,0.303,0.3182,1.6515,0.1667,0.4394,0.4545,0.8939,0.4697,0.803,0.1212,0.3333,0.2879,0.5,2.0454,0.3333,5.2575,0.1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23041,1404,12.2,0.7,194706
